date,rainfall_mm,Q_in_m3day,C_in_mgL,C_reservoir_mgL
2024-01-01,3.52,126684.0,39.16,34.0
2024-01-02,7.79,139176.0,37.32,33.87
2024-01-03,5.44,146360.0,37.53,33.83
2024-01-04,6.12,151861.0,38.51,33.78
2024-01-05,9.19,157744.0,41.13,33.58
2024-01-06,8.0,164702.0,39.43,33.54
2024-01-07,30.67,230645.0,39.73,33.79
2024-01-08,4.88,214256.0,43.15,33.87
2024-01-09,5.3,219524.0,40.99,33.72
2024-01-10,6.57,145834.0,45.43,33.48
2024-01-11,6.93,140832.0,41.52,33.71
2024-01-12,24.85,197269.0,36.35,33.71
2024-01-13,8.06,197544.0,41.92,33.64
2024-01-14,12.67,221616.0,45.98,33.67
2024-01-15,9.34,179550.0,45.57,33.48
2024-01-16,8.8,179808.0,46.31,33.72
2024-01-17,10.24,185736.0,38.85,33.67
2024-01-18,6.46,170759.0,42.53,33.89
2024-01-19,7.38,167848.0,38.62,33.89
2024-01-20,4.86,145215.0,39.98,34.09
2024-01-21,4.68,140111.0,36.49,34.09
2024-01-22,6.65,143352.0,37.31,34.19
2024-01-23,40.54,239176.0,41.34,34.36
2024-01-24,6.04,232666.0,44.33,34.52
2024-01-25,4.05,234114.0,44.04,34.64
2024-01-26,3.95,137515.0,42.9,34.59
2024-01-27,3.85,130538.0,39.31,34.84
2024-01-28,3.34,125654.0,36.93,34.65
2024-01-29,6.16,132927.0,36.07,34.61
2024-01-30,7.69,144967.0,39.74,34.59
2024-01-31,5.98,153333.0,40.6,34.64
2024-02-01,2.61,146426.0,40.21,34.55
2024-02-02,5.71,143540.0,36.87,34.57
2024-02-03,5.75,136056.0,32.85,34.49
2024-02-04,9.14,152655.0,34.97,34.22
2024-02-05,3.8,152033.0,41.08,34.21
2024-02-06,5.4,151956.0,37.77,34.03
2024-02-07,8.54,145131.0,37.41,33.74
2024-02-08,6.65,158836.0,42.31,33.76
2024-02-09,6.81,163545.0,41.27,33.83
2024-02-10,6.13,158680.0,39.07,33.9
2024-02-11,31.48,227327.0,41.56,34.04
2024-02-12,26.62,266923.0,44.06,33.85
2024-02-13,4.71,267547.0,44.54,33.75
2024-02-14,27.64,257312.0,49.79,34.16
2024-02-15,3.84,196031.0,47.16,34.05
2024-02-16,6.38,197725.0,44.76,34.19
2024-02-17,6.14,136202.0,43.18,34.06
2024-02-18,4.93,147004.0,38.53,34.05
2024-02-19,5.81,141172.0,39.76,33.93
2024-02-20,4.89,142109.0,37.79,33.99
2024-02-21,4.2,135751.0,33.08,33.97
2024-02-22,8.27,140790.0,34.12,33.86
2024-02-23,27.78,208507.0,39.08,33.73
2024-02-24,6.23,213512.0,42.23,33.81
2024-02-25,4.0,204273.0,41.29,33.67
2024-02-26,6.77,156278.0,41.74,33.73
2024-02-27,3.91,140542.0,44.75,34.11
2024-02-28,11.31,161079.0,36.33,34.29
2024-02-29,7.03,153953.0,38.91,34.38
2024-03-01,7.6,162738.0,40.0,34.36
2024-03-02,6.08,163128.0,37.84,34.06
2024-03-03,32.38,218193.0,42.78,33.91
2024-03-04,6.28,214072.0,38.92,34.13
2024-03-05,2.34,209127.0,44.38,34.06
2024-03-06,5.41,136946.0,39.93,33.93
2024-03-07,8.44,138648.0,45.64,33.9
2024-03-08,5.61,150357.0,38.3,33.72
2024-03-09,6.28,160364.0,40.43,33.53
2024-03-10,6.17,144141.0,38.72,33.5
2024-03-11,6.66,144002.0,38.92,33.34
2024-03-12,2.29,145028.0,37.07,33.21
2024-03-13,2.73,133589.0,38.13,33.06
2024-03-14,11.51,140953.0,39.16,33.12
2024-03-15,4.11,140999.0,36.71,33.05
2024-03-16,7.11,156883.0,38.08,33.01
2024-03-17,4.63,142005.0,37.39,33.08
2024-03-18,2.17,142937.0,43.14,33.05
2024-03-19,3.13,121309.0,37.36,32.96
2024-03-20,0.87,116030.0,40.24,32.99
2024-03-21,4.6,126323.0,36.46,33.05
2024-03-22,4.63,115049.0,37.37,32.99
2024-03-23,4.24,141110.0,34.45,32.96
2024-03-24,6.45,134960.0,36.6,32.81
2024-03-25,6.59,147756.0,38.6,32.67
2024-03-26,4.5,148016.0,41.34,32.77
2024-03-27,1.51,139018.0,38.24,32.82
2024-03-28,5.59,133688.0,40.73,32.86
2024-03-29,12.41,140143.0,39.95,32.89
2024-03-30,5.05,157536.0,41.74,32.89
2024-03-31,6.01,163259.0,38.55,32.99
2024-04-01,2.75,135825.0,43.6,33.12
2024-04-02,30.72,207643.0,40.86,33.29
2024-04-03,2.96,201078.0,39.16,33.3
2024-04-04,5.48,207466.0,38.33,33.53
2024-04-05,1.78,126187.0,44.9,33.55
2024-04-06,8.35,132405.0,42.55,33.62
2024-04-07,6.49,142055.0,37.34,33.64
2024-04-08,3.78,151744.0,40.6,33.66
2024-04-09,5.38,136280.0,39.47,33.52
2024-04-10,4.43,139389.0,42.34,33.61
2024-04-11,3.87,141014.0,34.78,34.0
2024-04-12,6.02,138815.0,37.29,33.91
2024-04-13,3.57,120577.0,36.87,33.88
2024-04-14,1.21,122411.0,33.34,33.76
2024-04-15,2.62,129170.0,39.2,33.65
2024-04-16,4.61,119762.0,36.62,33.84
2024-04-17,4.32,120881.0,38.44,33.69
2024-04-18,1.33,133523.0,41.41,33.6
2024-04-19,2.54,121909.0,36.14,33.31
2024-04-20,2.7,123055.0,36.02,33.15
2024-04-21,2.98,123317.0,36.9,32.86
2024-04-22,7.0,136104.0,38.96,32.93
2024-04-23,2.48,135033.0,35.99,33.31
2024-04-24,2.28,134844.0,35.83,33.22
2024-04-25,4.48,136033.0,39.42,32.94
2024-04-26,43.36,238509.0,42.91,33.15
2024-04-27,3.0,227673.0,37.58,33.08
2024-04-28,2.58,232742.0,39.24,33.33
2024-04-29,6.4,137663.0,45.18,33.28
2024-04-30,1.84,134874.0,42.67,33.16
2024-05-01,1.29,123295.0,35.29,33.09
2024-05-02,1.55,118313.0,36.3,33.16
2024-05-03,1.96,117441.0,36.6,33.08
2024-05-04,1.11,125186.0,37.41,32.96
2024-05-05,3.05,112569.0,33.36,32.88
2024-05-06,3.85,118828.0,34.71,32.64
2024-05-07,0.32,117728.0,36.79,32.65
2024-05-08,2.69,115848.0,36.13,32.34
2024-05-09,2.27,109640.0,37.61,32.22
2024-05-10,3.06,107581.0,34.01,32.28
2024-05-11,2.48,118660.0,37.02,32.29
2024-05-12,0.27,117338.0,38.48,32.34
2024-05-13,0.5,106203.0,37.01,32.28
2024-05-14,2.39,118110.0,36.33,32.41
2024-05-15,5.52,122496.0,36.16,32.51
2024-05-16,0.0,127541.0,34.38,32.53
2024-05-17,2.72,123257.0,36.2,32.63
2024-05-18,3.93,121856.0,39.28,32.71
2024-05-19,1.87,124102.0,36.46,32.6
2024-05-20,2.87,129972.0,34.6,32.36
2024-05-21,6.1,129184.0,36.13,32.39
2024-05-22,1.77,131129.0,37.41,32.44
2024-05-23,0.0,122817.0,35.79,32.56
2024-05-24,0.0,103284.0,37.28,32.36
2024-05-25,3.22,110616.0,37.4,32.18
2024-05-26,0.28,120516.0,37.44,32.21
2024-05-27,1.03,110739.0,38.42,32.16
2024-05-28,0.0,105598.0,37.57,31.82
2024-05-29,0.0,109036.0,33.71,31.83
2024-05-30,29.89,185407.0,36.98,31.56
2024-05-31,0.44,180926.0,38.66,31.43
2024-06-01,2.05,174422.0,38.03,31.64
2024-06-02,2.12,114869.0,36.91,31.87
2024-06-03,1.88,105035.0,38.54,31.64
2024-06-04,51.84,256237.0,41.11,31.68
2024-06-05,3.68,253888.0,41.11,31.77
2024-06-06,0.0,253031.0,41.58,32.12
2024-06-07,1.14,108345.0,44.46,32.01
2024-06-08,2.88,102978.0,42.63,31.9
2024-06-09,3.04,120153.0,41.32,32.1
2024-06-10,0.0,115631.0,36.28,32.0
2024-06-11,0.6,107239.0,35.44,32.06
2024-06-12,3.06,110176.0,36.27,31.79
2024-06-13,9.73,149534.0,37.6,31.75
2024-06-14,14.74,177584.0,39.37,31.51
2024-06-15,0.58,172052.0,42.74,31.38
2024-06-16,0.3,145876.0,36.87,31.48
2024-06-17,15.04,149862.0,41.72,31.48
2024-06-18,0.42,141087.0,39.32,31.41
2024-06-19,0.7,132844.0,34.09,31.26
2024-06-20,0.85,104335.0,38.81,31.19
2024-06-21,0.0,108206.0,39.79,31.19
2024-06-22,1.47,101329.0,33.92,31.29
2024-06-23,5.01,116376.0,36.18,30.85
2024-06-24,0.0,113799.0,32.68,30.68
2024-06-25,1.06,123685.0,33.66,30.66
2024-06-26,0.0,106571.0,38.29,30.61
2024-06-27,1.38,109761.0,35.27,30.62
2024-06-28,0.55,108267.0,33.47,30.61
2024-06-29,1.6,109240.0,36.36,30.52
2024-06-30,2.19,112584.0,35.02,30.4
2024-07-01,0.69,106038.0,35.23,30.32
2024-07-02,2.08,102302.0,37.76,30.45
2024-07-03,0.0,108135.0,33.91,30.29
2024-07-04,4.35,118755.0,34.78,30.24
2024-07-05,0.87,119962.0,36.77,30.23
2024-07-06,17.13,167459.0,40.41,30.48
2024-07-07,0.0,155855.0,40.73,30.44
2024-07-08,0.0,140697.0,36.95,30.57
2024-07-09,0.44,99415.0,39.72,30.71
2024-07-10,0.18,104052.0,36.23,30.65
2024-07-11,0.61,115935.0,39.51,30.59
2024-07-12,1.79,114284.0,33.85,30.5
2024-07-13,0.0,112007.0,38.81,30.42
2024-07-14,1.6,107101.0,35.02,30.5
2024-07-15,0.13,100193.0,40.4,30.5
2024-07-16,0.0,108554.0,37.53,30.49
2024-07-17,0.0,94850.0,34.15,30.27
2024-07-18,0.84,101035.0,35.29,30.07
2024-07-19,0.0,101653.0,37.76,30.35
2024-07-20,1.03,112942.0,38.47,30.29
2024-07-21,0.0,100976.0,36.28,30.12
2024-07-22,0.12,90874.0,36.58,30.28
2024-07-23,0.0,102843.0,37.97,30.28
2024-07-24,1.78,101570.0,36.99,30.32
